 usecs   ticks  time part mamType noteType channel pitch velocity    other
555556       0 0.000    0       2       f0       f    51        0 00000000
     0    5160 11.944    1       0       90       0    4a       6b 00000000
     0    5160 11.944    2       0       90       1    37       6b 00000000
     0    5208 12.056    1       0       80       0    4a        0 00000000
     0    5220 12.083    1       0       90       0    47       6b 00000000
     0    5256 12.167    2       0       80       1    37        0 00000000
     0    5268 12.194    1       0       80       0    47        0 00000000
     0    5280 12.222    1       0       90       0    4d       6b 00000000
     0    5280 12.222    2       0       90       1    3b       6b 00000000
     0    5328 12.333    1       0       80       0    4d        0 00000000
     0    5340 12.361    1       0       90       0    4a       6b 00000000
     0    5376 12.444    2       0       80       1    3b        0 00000000
     0    5388 12.472    1       0       80       0    4a        0 00000000
     0    5400 12.500    1       0       90       0    47       6b 00000000
     0    5400 12.500    2       0       90       1    3e       6b 00000000
     0    5448 12.611    1       0       80       0    47        0 00000000
     0    5460 12.639    1       0       90       0    4a       6b 00000000
     0    5496 12.722    2       0       80       1    3e        0 00000000
     0    5508 12.750    1       0       80       0    4a        0 00000000
     0    5520 12.778    1       0       90       0    43       6b 00000000
     0    5520 12.778    2       0       90       1    3b       6b 00000000
     0    5568 12.889    1       0       80       0    43        0 00000000
     0    5580 12.917    1       0       90       0    4d       6b 00000000
     0    5616 13.000    2       0       80       1    3b        0 00000000
     0    5628 13.028    1       0       80       0    4d        0 00000000
     0    5640 13.056    1       0       90       0    4c       6b 00000000
     0    5640 13.056    2       0       90       1    37       6b 00000000
     0    5688 13.167    1       0       80       0    4c        0 00000000
     0    5700 13.194    1       0       90       0    4a       6b 00000000
     0    5736 13.278    2       0       80       1    37        0 00000000
     0    5748 13.306    1       0       80       0    4a        0 00000000
     0    5760 13.333    1       0       90       0    4c       6b 00000000
     0    5760 13.333    2       0       90       1    3c       6b 00000000
     0    5808 13.444    1       0       80       0    4c        0 00000000
     0    5820 13.472    1       0       90       0    4a       6b 00000000
     0    5856 13.556    2       0       80       1    3c        0 00000000
     0    5868 13.583    1       0       80       0    4a        0 00000000
     0    5880 13.611    1       0       90       0    48       6b 00000000
     0    5880 13.611    2       0       90       1    37       6b 00000000
     0    5928 13.722    1       0       80       0    48        0 00000000
     0    5940 13.750    1       0       90       0    47       6b 00000000
     0    5976 13.833    2       0       80       1    37        0 00000000
     0    5988 13.861    1       0       80       0    47        0 00000000
     0    6000 13.889    1       0       90       0    45       6b 00000000
     0    6000 13.889    2       0       90       1    30       6b 00000000
     0    6048 14.000    1       0       80       0    45        0 00000000
     0    6060 14.028    1       0       90       0    48       6b 00000000
     0    6096 14.111    2       0       80       1    30        0 00000000
     0    6108 14.139    1       0       80       0    48        0 00000000
     0    6120 14.167    1       0       90       0    4a       6b 00000000
     0    6120 14.167    2       0       90       1    3c       6b 00000000
     0    6168 14.278    1       0       80       0    4a        0 00000000
     0    6180 14.306    1       0       90       0    4e       6b 00000000
     0    6216 14.389    2       0       80       1    3c        0 00000000
     0    6228 14.417    1       0       80       0    4e        0 00000000
     0    6240 14.444    1       0       90       0    4f       6b 00000000
     0    6240 14.444    2       0       90       1    3b       6b 00000000
     0    6288 14.556    1       0       80       0    4f        0 00000000
     0    6288 14.556    2       0       80       1    3b        0 00000000
     0    6300 14.583    1       0       90       0    47       6b 00000000
     0    6300 14.583    2       0       90       1    37       6b 00000000
     0    6348 14.694    1       0       80       0    47        0 00000000
     0    6348 14.694    2       0       80       1    37        0 00000000
     0    6360 14.722    1       0       90       0    48       6b 00000000
     0    6360 14.722    2       0       90       1    39       6b 00000000
     0    6408 14.833    1       0       80       0    48        0 00000000
     0    6408 14.833    2       0       80       1    39        0 00000000
     0    6420 14.861    1       0       90       0    45       6b 00000000
     0    6420 14.861    2       0       90       1    36       6b 00000000
     0    6468 14.972    1       0       80       0    45        0 00000000
     0    6468 14.972    2       0       80       1    36        0 00000000
     0    6480 15.000    1       0       90       0    47       6b 00000000
     0    6480 15.000    2       0       90       1    37       6b 00000000
     0    6528 15.111    1       0       80       0    47        0 00000000
     0    6540 15.139    1       0       90       0    4a       6b 00000000
     0    6576 15.222    2       0       80       1    37        0 00000000
     0    6588 15.250    1       0       80       0    4a        0 00000000
     0    6600 15.278    1       0       90       0    4c       6b 00000000
     0    6600 15.278    2       0       90       1    35       6b 00000000
     0    6648 15.389    1       0       80       0    4c        0 00000000
     0    6660 15.417    1       0       90       0    4d       6b 00000000
     0    6696 15.500    2       0       80       1    35        0 00000000
     0    6708 15.528    1       0       80       0    4d        0 00000000
     0    6720 15.556    1       0       90       0    4f       6b 00000000
     0    6720 15.556    2       0       90       1    34       6b 00000000
     0    6768 15.667    1       0       80       0    4f        0 00000000
     0    6780 15.694    1       0       90       0    45       6b 00000000
     0    6816 15.778    2       0       80       1    34        0 00000000
     0    6828 15.806    1       0       80       0    45        0 00000000
     0    6840 15.833    1       0       90       0    46       6b 00000000
     0    6840 15.833    2       0       90       1    32       6b 00000000
     0    6888 15.944    1       0       80       0    46        0 00000000
     0    6900 15.972    1       0       90       0    43       6b 00000000
     0    6936 16.056    2       0       80       1    32        0 00000000
     0    6948 16.083    1       0       80       0    43        0 00000000
     0    6960 16.111    1       0       90       0    4d       6b 00000000
     0    6960 16.111    2       0       90       1    34       6b 00000000
     0    7008 16.222    1       0       80       0    4d        0 00000000
     0    7020 16.250    1       0       90       0    45       6b 00000000
     0    7056 16.333    2       0       80       1    34        0 00000000
     0    7068 16.361    1       0       80       0    45        0 00000000
     0    7080 16.389    1       0       90       0    46       6b 00000000
     0    7080 16.389    2       0       90       1    30       6b 00000000
     0    7128 16.500    1       0       80       0    46        0 00000000
     0    7140 16.528    1       0       90       0    43       6b 00000000
     0    7176 16.611    2       0       80       1    30        0 00000000
     0    7188 16.639    1       0       80       0    43        0 00000000
     0    7200 16.667    1       0       90       0    45       6b 00000000
     0    7200 16.667    2       0       90       1    35       6b 00000000
     0    7248 16.778    1       0       80       0    45        0 00000000
     0    7260 16.806    1       0       90       0    48       6b 00000000
     0    7296 16.889    2       0       80       1    35        0 00000000
     0    7308 16.917    1       0       80       0    48        0 00000000
     0    7320 16.944    1       0       90       0    4a       6b 00000000
     0    7320 16.944    2       0       90       1    34       6b 00000000
     0    7368 17.056    1       0       80       0    4a        0 00000000
     0    7380 17.083    1       0       90       0    4c       6b 00000000
     0    7416 17.167    2       0       80       1    34        0 00000000
     0    7428 17.194    1       0       80       0    4c        0 00000000
     0    7440 17.222    1       0       90       0    4d       6b 00000000
     0    7440 17.222    2       0       90       1    32       6b 00000000
     0    7488 17.333    1       0       80       0    4d        0 00000000
     0    7500 17.361    1       0       90       0    43       6b 00000000
     0    7536 17.444    2       0       80       1    32        0 00000000
     0    7548 17.472    1       0       80       0    43        0 00000000
     0    7560 17.500    1       0       90       0    45       6b 00000000
     0    7560 17.500    2       0       90       1    30       6b 00000000
     0    7608 17.611    1       0       80       0    45        0 00000000
     0    7620 17.639    1       0       90       0    41       6b 00000000
     0    7656 17.722    2       0       80       1    30        0 00000000
     0    7668 17.750    1       0       80       0    41        0 00000000
     0    7680 17.778    1       0       90       0    4d       6b 00000000
     0    7680 17.778    2       0       90       1    32       6b 00000000
     0    7728 17.889    1       0       80       0    4d        0 00000000
     0    7740 17.917    1       0       90       0    43       6b 00000000
     0    7776 18.000    2       0       80       1    32        0 00000000
     0    7788 18.028    1       0       80       0    43        0 00000000
     0    7800 18.056    1       0       90       0    45       6b 00000000
     0    7800 18.056    2       0       90       1    2f       6b 00000000
     0    7848 18.167    1       0       80       0    45        0 00000000
     0    7860 18.194    1       0       90       0    41       6b 00000000
     0    7896 18.278    2       0       80       1    2f        0 00000000
     0    7908 18.306    1       0       80       0    41        0 00000000
     0    7920 18.333    1       0       90       0    43       6b 00000000
     0    7920 18.333    2       0       90       1    34       6b 00000000
     0    7968 18.444    1       0       80       0    43        0 00000000
     0    7980 18.472    1       0       90       0    40       6b 00000000
     0    8016 18.556    2       0       80       1    34        0 00000000
     0    8028 18.583    1       0       80       0    40        0 00000000
     0    8040 18.611    1       0       90       0    43       6b 00000000
     0    8040 18.611    2       0       90       1    32       6b 00000000
     0    8088 18.722    1       0       80       0    43        0 00000000
     0    8100 18.750    1       0       90       0    47       6b 00000000
     0    8136 18.833    2       0       80       1    32        0 00000000
     0    8148 18.861    1       0       80       0    47        0 00000000
     0    8160 18.889    1       0       90       0    4c       6b 00000000
     0    8160 18.889    2       0       90       1    31       6b 00000000
     0    8208 19.000    1       0       80       0    4c        0 00000000
     0    8220 19.028    1       0       90       0    41       6b 00000000
     0    8256 19.111    2       0       80       1    31        0 00000000
     0    8268 19.139    1       0       80       0    41        0 00000000
     0    8280 19.167    1       0       90       0    43       6b 00000000
     0    8280 19.167    2       0       90       1    2f       6b 00000000
     0    8328 19.278    1       0       80       0    43        0 00000000
